Ref,Val,Package,PosX,PosY,Rot,Side
"D175","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-226.000000,-78.750000,0.000000,bottom
"D176","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-234.000000,-77.750000,0.000000,bottom
"D177","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-245.000000,-79.250000,0.000000,bottom
"D178","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-252.500000,-78.250000,0.000000,bottom
"D179","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-262.500000,-76.250000,0.000000,bottom
"D180","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-270.500000,-74.250000,0.000000,bottom
"D181","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-33.000000,-85.250000,0.000000,bottom
"D182","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-50.500000,-88.750000,0.000000,bottom
"D183","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-69.000000,-88.250000,0.000000,bottom
"D184","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-87.500000,-87.750000,0.000000,bottom
"D185","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-97.000000,-89.250000,0.000000,bottom
"D186","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-105.500000,-91.250000,0.000000,bottom
"D187","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-123.000000,-95.250000,0.000000,bottom
"D188","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-183.000000,-93.250000,0.000000,bottom
"D189","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-192.000000,-90.750000,0.000000,bottom
"D190","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-199.500000,-89.250000,0.000000,bottom
"D191","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-218.500000,-85.750000,0.000000,bottom
"D192","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-237.000000,-86.250000,0.000000,bottom
"D193","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-254.500000,-86.250000,0.000000,bottom
"D194","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-272.000000,-82.250000,0.000000,bottom
"D195","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-22.000000,-90.750000,0.000000,bottom
"D196","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-30.500000,-92.250000,0.000000,bottom
"D197","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-39.500000,-94.250000,0.000000,bottom
